gene,product,location
N/A,hypothetical protein,[1053834:1054056](+)
tadA,tRNA(adenine(34)) deaminase,[1054096:1054555](+)
N/A,hypothetical protein,[1054516:1056418](-)
N/A,hypothetical protein,[1056463:1056880](+)
N/A,Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon,[1056883:1057690](-)
N/A,Histidine kinase,[1057686:1058793](-)
aadA,Streptomycin 3''-adenylyltransferase,[1058853:1059336](-)
spoT,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",[1059448:1061554](+)
N/A,50S ribosomal protein L10,[1062271:1062787](+)
N/A,50S ribosomal protein L7/L12,[1062868:1063243](+)
N/A,hypothetical protein,[1063434:1063737](-)
cheB,Protein-glutamate methylesterase,[1063736:1064102](-)
N/A,Phosphate regulon sensor protein,[1064117:1065743](-)
N/A,Transcriptional activator protein Anr,[1065825:1066542](-)
N/A,hypothetical protein,[1066513:1066870](-)
N/A,hypothetical protein,[1066885:1067392](-)
N/A,uncharacterized protein,[1067679:1069299](-)
N/A,hypothetical protein,[1069364:1071374](-)
N/A,hypothetical protein,[1071430:1071829](-)
N/A,hypothetical protein,[1071983:1072394](+)
N/A,3-methylmercaptopropionyl-CoA dehydrogenase,[1072439:1074242](+)
N/A,hypothetical protein,[1074514:1075042](+)
N/A,hypothetical protein,[1075225:1076323](+)
N/A,Chaperone protein DnaJ,[1076399:1077590](-)
N/A,Chaperone protein DnaK,[1077639:1079541](-)
N/A,hypothetical protein,[1079646:1080201](+)
N/A,hypothetical protein,[1080197:1080662](+)
N/A,hypothetical protein,[1080676:1081030](+)
ldcA,Muramoyltetrapeptide carboxypeptidase,[1081037:1082072](-)
N/A,hypothetical protein,[1082068:1082512](-)
dapE,Succinyl-diaminopimelate desuccinylase,[1082563:1083709](+)
N/A,Cyclic-guanylate-specific phosphodiesterase,[1083739:1085416](-)
N/A,hypothetical protein,[1085515:1086046](-)
N/A,Membrane-bound lytic murein transglycosylase,[1086058:1087312](-)
N/A,hypothetical protein,[1087308:1087965](-)
N/A,Protein-export protein SecB,[1088149:1088653](+)
N/A,Putative lipid II flippase MurJ,[1088789:1090397](+)
warS,Tryptophan--tRNA ligase,[1090401:1091406](+)
N/A,hypothetical protein,[1091577:1092225](+)
ppiA,Peptidylprolyl isomerase,[1092304:1092910](-)
N/A,Chromosomal replication initiator protein DnaA,[1092949:1094365](-)
N/A,30S ribosomal protein S20,[1094797:1095061](-)
mutM,DNA-formamidopyrimidine glycosylase,[1095179:1095992](-)
ubiE,Demethylmenaquinone methyltransferase,[1096132:1096864](+)
N/A,putative aarF domain-containing protein kinase,[1096954:1098496](+)
N/A,Phosphopantothenoylcysteine decarboxylase,[1098492:1099740](+)
N/A,dUTP diphosphatase,[1099714:1100179](+)
N/A,Adenylyltransferase and sulfurtransferase MOCS3-1,[1100175:1100958](+)
N/A,hypothetical protein,[1100945:1101311](+)
N/A,hypothetical protein,[1101311:1102385](-)
N/A,Inner membrane protein YjgN,[1102390:1103470](-)
N/A,Biopolymer transport protein exbD1,[1103597:1103987](-)
tarS,Threonine--tRNA ligase,[1104150:1106133](+)
N/A,Translation initiation factor IF-3,[1106260:1106794](+)
N/A,hypothetical protein,[1106999:1107497](+)
N/A,NADPH:quinone reductase,[1107513:1108626](-)
msrA,Peptide-methionine (S)-S-oxide reductase,[1108640:1109312](-)
N/A,hypothetical protein,[1109298:1109469](-)
aspB,Aspartate transaminase,[1109727:1110930](-)
pabC,Aminodeoxychorismate lyase,[1111089:1111713](-)
pabB,Aminodeoxychorismate synthase,[1111718:1112921](-)
N/A,Cytochrome-c oxidase,[1113028:1113424](+)
N/A,hypothetical protein,[1113557:1113995](-)
N/A,hypothetical protein,[1114211:1115438](+)
N/A,UPF0118 membrane protein,[1115444:1116599](+)
N/A,Peroxiredoxin,[1116637:1117300](+)
N/A,Persulfide dioxygenase,[1117305:1118349](+)
N/A,hypothetical protein,[1118641:1119391](+)
N/A,Chitin deacetylase,[1119400:1121959](+)
N/A,hypothetical protein,[1122087:1122471](+)
N/A,Response regulator MprA,[1122467:1123154](+)
cusS,Histidine kinase,[1123158:1124535](+)
N/A,hypothetical protein,[1124571:1125981](-)
N/A,[Heparan sulfate]-glucosamine 3-sulfotransferase 3,[1126108:1126972](-)
N/A,hypothetical protein,[1127422:1128607](+)
N/A,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,[1128606:1129209](+)
N/A,Methionyl-tRNA formyltransferase,[1129180:1130104](+)
nagB,Glucosamine-6-phosphate deaminase,[1130100:1130784](+)
N/A,Carbamoyl-phosphate synthase (glutamine-hydrolyzing),[1130785:1131826](+)
N/A,hypothetical protein,[1131839:1132505](+)
N/A,Glycogen(starch) synthase,[1132520:1133690](-)
N/A,hypothetical protein,[1133880:1134726](+)
N/A,hypothetical protein,[1134768:1135959](+)
N/A,Starch synthase,[1135958:1137221](+)
N/A,Pectate lyase,[1137214:1138633](+)
N/A,hypothetical protein,[1138661:1139900](-)
N/A,Exopolysaccharide production protein ExoF,[1139890:1140460](-)
N/A,Daunorubicin biosynthesis sensory transduction protein DnrJ,[1140559:1141813](-)
N/A,Capsular polysaccharide biosynthesis protein CapD,[1141809:1143891](-)
N/A,Putative HTH-type transcriptional regulator YhjB,[1144504:1145302](+)
N/A,hypothetical protein,[1145279:1146272](+)
N/A,hypothetical protein,[1146381:1147719](+)
N/A,Inner membrane protein YghQ,[1147732:1149067](+)
N/A,Putative tyrosine-protein kinase EpsB,[1149394:1151695](-)
coxB,Cytochrome-c oxidase,[1151994:1152864](+)
coxA,Cytochrome-c oxidase,[1152863:1154582](+)
N/A,Cytochrome-c oxidase,[1154578:1155175](+)
N/A,Cytochrome-c oxidase,[1155187:1155883](+)
coxD,Cytochrome-c oxidase,[1155888:1156242](+)
N/A,Cytochrome,[1156246:1156927](+)
N/A,hypothetical protein,[1156991:1157792](-)
katG,Catalase peroxidase,[1158108:1160358](+)
N/A,hypothetical protein,[1160411:1161029](-)
N/A,hypothetical protein,[1161115:1161325](-)
N/A,Chloride peroxidase,[1161440:1162259](+)
N/A,hypothetical protein,[1162259:1162607](+)
N/A,hypothetical protein,[1162603:1163194](+)
N/A,hypothetical protein,[1163422:1163611](-)
N/A,Exodeoxyribonuclease III,[1163659:1164508](+)
ligD,DNA ligase (ATP),[1164507:1165539](+)
N/A,hypothetical protein,[1165520:1166408](-)
N/A,hypothetical protein,[1166561:1167458](+)
N/A,hypothetical protein,[1167454:1167769](+)
N/A,N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D,[1167848:1169069](+)
N/A,hypothetical protein,[1169072:1169591](-)
N/A,hypothetical protein,[1169650:1170124](-)
N/A,hypothetical protein,[1170326:1170827](-)
N/A,hypothetical protein,[1171183:1171723](-)
N/A,UvrABC system protein,[1171774:1173958](+)
N/A,hypothetical protein,[1174002:1174491](+)
coq7,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",[1174487:1175042](+)
N/A,hypothetical protein,[1175055:1175643](+)
N/A,hypothetical protein,[1175733:1176129](+)
N/A,Prolyl aminopeptidase,[1176254:1177196](-)
ddx5,RNA helicase,[1177363:1179880](+)
N/A,Chemotaxis response regulator protein-glutamate methylesterase,[1179942:1180362](+)
N/A,Signaling protein YkoW,[1180433:1183043](-)
dnaN,DNA-directed DNA polymerase,[1183157:1184270](-)
N/A,hypothetical protein,[1184439:1184910](+)
rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase,[1185043:1186303](+)
N/A,Protein MgtC,[1186309:1186777](-)
N/A,ADP-dependent NAD(P)H-hydrate dehydratase,[1186823:1187717](-)
N/A,hypothetical protein,[1187713:1188514](-)
recJ,Single-stranded-DNA-specific exonuclease RecJ,[1188758:1190525](-)
N/A,hypothetical protein,[1190656:1192759](+)
N/A,hypothetical protein,[1192758:1196970](+)
N/A,hypothetical protein,[1196963:1197425](-)
N/A,DNA-directed DNA polymerase,[1197535:1201147](-)
N/A,Protein ImuB,[1201124:1202735](-)
N/A,Alcohol sulfotransferase,[1203753:1204950](+)
N/A,Protein RecA,[1205106:1206180](-)
N/A,hypothetical protein,[1206281:1206638](-)
cckA,Histidine kinase,[1206719:1209146](-)
N/A,hypothetical protein,[1209191:1209785](-)
N/A,SsrA-binding protein,[1209784:1210267](-)
dapA,4-hydroxy-tetrahydrodipicolinate synthase,[1210312:1211191](-)
N/A,Putative murein lytic transglycosylase YjbJ,[1211294:1213382](+)
N/A,Transcription elongation factor GreA,[1213470:1213953](+)
ctpA,C-terminal processing peptidase,[1214365:1215715](-)
N/A,hypothetical protein,[1215823:1216009](-)
N/A,Transducer protein BasT,[1216086:1217406](-)
N/A,Polyphosphate kinase,[1217493:1218276](-)
darS,Aspartate--tRNA ligase,[1218390:1220253](-)
N/A,Ribonuclease D,[1220303:1221470](+)
N/A,hypothetical protein,[1221481:1221775](+)
N/A,hypothetical protein,[1221777:1222173](+)
N/A,hypothetical protein,[1222175:1222874](-)
N/A,hypothetical protein,[1223018:1223405](-)
N/A,hypothetical protein,[1223459:1223666](-)
N/A,Elongation factor,[1223722:1225528](-)
N/A,hypothetical protein,[1225693:1226506](+)
N/A,hypothetical protein,[1226597:1227593](-)
N/A,hypothetical protein,[1227736:1228279](-)
N/A,Adenylate kinase,[1228322:1228979](-)
N/A,Protein translocase subunit SecY,[1229022:1230387](-)
N/A,50S ribosomal protein L15,[1230574:1231108](-)
N/A,50S ribosomal protein L30,[1231302:1231479](-)
N/A,30S ribosomal protein,[1231485:1232214](-)
N/A,50S ribosomal protein L18,[1232216:1232570](-)
N/A,50S ribosomal protein L6,[1232571:1233105](-)
N/A,30S ribosomal protein S8,[1233104:1233500](-)
N/A,30S ribosomal protein S14,[1233512:1233818](-)
N/A,50S ribosomal protein L5,[1233871:1234444](-)
N/A,50S ribosomal protein L24,[1234443:1234755](-)
N/A,50S ribosomal protein L14,[1234754:1235123](-)
N/A,30S ribosomal protein S17,[1235288:1235552](-)
N/A,50S ribosomal protein L29,[1235564:1235768](-)
N/A,50S ribosomal protein L16,[1235771:1236203](-)
N/A,30S ribosomal protein S3,[1236224:1236920](-)
N/A,50S ribosomal protein L22,[1236924:1237311](-)
N/A,30S ribosomal protein S19,[1237310:1237589](-)
N/A,50S ribosomal protein L2,[1237594:1238431](-)
N/A,50S ribosomal protein L23,[1238433:1238751](-)
N/A,50S ribosomal protein L4,[1238743:1239367](-)
N/A,50S ribosomal protein L3,[1239369:1240125](-)
N/A,30S ribosomal protein S10,[1240396:1240705](-)
N/A,Elongation factor Tu,[1240849:1242040](-)
N/A,Elongation factor,[1242176:1244270](-)
N/A,30S ribosomal protein S7,[1244421:1244892](-)
N/A,"30S ribosomal protein S12, chloroplastic",[1244905:1245277](-)
N/A,uncharacterized protein,[1245638:1247924](+)
N/A,uncharacterized protein,[1248077:1249268](+)
N/A,hypothetical protein,[1249206:1249635](+)
N/A,uncharacterized protein,[1249641:1250280](-)
N/A,hypothetical protein,[1250326:1250845](+)
N/A,hypothetical protein,[1250977:1251214](-)
N/A,Putative DNA-invertase from lambdoid prophage Rac,[1251514:1252090](+)
N/A,hypothetical protein,[1252495:1253197](-)
N/A,hypothetical protein,[1253432:1254728](-)
N/A,Transposase for insertion sequence element IS406,[1254780:1255611](-)
N/A,Transposase for insertion sequence element ISRM5,[1255607:1256006](-)
N/A,Competence protein ComM,[1257398:1258052](-)
rlmE,23S rRNA (uridine(2552)-2'-O)-methyltransferase,[1258093:1258768](-)
N/A,Exopolyphosphatase,[1258764:1259883](-)
N/A,Protein translocase subunit SecF,[1260410:1261397](-)
N/A,Protein translocase subunit SecD,[1261416:1263015](-)
N/A,UPF0092 membrane protein,[1263022:1263358](-)
N/A,hypothetical protein,[1263790:1264609](+)
N/A,hypothetical protein,[1265115:1265910](-)
N/A,Cyanelle 30S ribosomal protein S13,[1266065:1266434](+)
N/A,30S ribosomal protein S11,[1266509:1266899](+)
rpoA,DNA-directed RNA polymerase,[1267017:1268079](+)
N/A,50S ribosomal protein L17,[1268252:1268678](+)
preP,Prolyl oligopeptidase,[1268780:1270943](+)
N/A,hypothetical protein,[1271011:1271554](+)
N/A,Ammonia channel,[1271744:1273043](+)
N/A,"Tetracycline resistance protein, class",[1273121:1274354](+)
N/A,GMP synthase (glutamine-hydrolyzing),[1274475:1276035](+)
dapC,Succinyldiaminopimelate transaminase,[1276196:1277369](+)
N/A,DNA recombination protein RmuC like protein,[1277438:1278872](+)
N/A,hypothetical protein,[1278981:1279611](+)
N/A,hypothetical protein,[1280121:1280844](+)
N/A,NADH:ubiquinone reductase (H(+)-translocating),[1280935:1281883](+)
bacA,Undecaprenyl-diphosphate phosphatase,[1282064:1282874](+)
gltD,Glutamate synthase (NADPH),[1283037:1284489](+)
gltB,Glutamate synthase (NADPH),[1284608:1289147](+)
N/A,hypothetical protein,[1289232:1289706](-)
N/A,hypothetical protein,[1290049:1291129](-)
N/A,hypothetical protein,[1291103:1292177](-)
N/A,hypothetical protein,[1292263:1292566](-)
N/A,"Hemolysin secretion protein D, chromosomal",[1292672:1294067](-)
N/A,Cyclolysin secretion/processing ATP-binding protein CyaB,[1294063:1296214](-)
N/A,"Hemolysin, chromosomal",[1296959:1298153](+)
N/A,hypothetical protein,[1298282:1298555](-)
N/A,hypothetical protein,[1298689:1299211](-)
N/A,hypothetical protein,[1299251:1300823](-)
hapE,4-hydroxyacetophenone monooxygenase,[1301429:1303409](-)
N/A,hypothetical protein,[1303586:1304009](-)
N/A,hypothetical protein,[1304267:1305326](-)
N/A,4-hydroxyacetophenone monooxygenase,[1305411:1307394](-)
N/A,hypothetical protein,[1307653:1308694](+)
dnaQ,DNA-directed DNA polymerase,[1309237:1310071](-)
N/A,hypothetical protein,[1310135:1310840](-)
N/A,uncharacterized protein,[1310851:1311265](-)
N/A,hypothetical protein,[1311864:1312182](+)
N/A,C4-dicarboxylic acid transporter DauA,[1312168:1313878](+)
phnA,Phosphonoacetate hydrolase,[1313901:1314210](+)
N/A,hypothetical protein,[1315128:1316118](-)
N/A,Maf-like protein,[1316123:1316696](-)
N/A,Translation initiation factor IF-1,[1316710:1316929](-)
bioA,Adenosylmethionine--8-amino-7-oxononanoate transaminase,[1316988:1318278](-)
N/A,hypothetical protein,[1318337:1318757](-)
pepO,Putative zinc metalloproteinase in scaA 5'region,[1318924:1320946](-)
bioD,Dethiobiotin synthase,[1320998:1321613](-)
bioF,8-amino-7-oxononanoate synthase,[1321609:1322734](-)
N/A,hypothetical protein,[1322922:1323606](-)
N/A,hypothetical protein,[1323678:1323795](-)
hppA,Inorganic diphosphatase,[1323823:1325947](-)
thiL,Thiamine-phosphate kinase,[1326199:1327114](-)
N/A,N utilization substance protein B like protein,[1327238:1327685](-)
hisD,Histidinol dehydrogenase,[1327777:1329067](-)
hisG,ATP phosphoribosyltransferase,[1329056:1329719](-)
mnmA,tRNA-specific 2-thiouridylase MnmA,[1329779:1330955](-)
N/A,hypothetical protein,[1331008:1331305](+)
N/A,hypothetical protein,[1331412:1331712](+)
N/A,hypothetical protein,[1331915:1332170](+)
N/A,UPF0410 protein,[1332234:1332483](-)
N/A,Membrane fusion protein MtrC,[1332661:1333828](+)
N/A,Multidrug resistance protein MdtB,[1333852:1337014](+)
N/A,uncharacterized protein,[1337086:1338352](+)
nemA,Artemisinic aldehyde Delta(11(13)) reductase,[1338451:1339534](+)
ribH,"6,7-dimethyl-8-ribityllumazine synthase",[1339675:1340098](-)
N/A,"3,4-dihydroxy-2-butanone-4-phosphate synthase",[1340112:1341396](-)
ribE,Riboflavin synthase,[1341470:1342082](-)
ribD,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,[1342116:1343100](-)
N/A,hypothetical protein,[1343111:1343636](-)
N/A,Protein TonB,[1343632:1344325](-)
N/A,"putative ubiquinone biosynthesis protein coq9, mitochondrial",[1344430:1345132](+)
N/A,hypothetical protein,[1345199:1345478](+)
N/A,Ferrous iron transport protein,[1345474:1347337](+)
N/A,Single-stranded DNA-binding protein,[1347386:1347938](+)
N/A,UTP--glucose-1-phosphate uridylyltransferase,[1348051:1348951](-)
N/A,hypothetical protein,[1349037:1349499](-)
N/A,hypothetical protein,[1349662:1349836](-)
htpX,Protease HtpX like protein,[1349945:1350854](+)
N/A,16S rRNA (cytosine(967)-C(5))-methyltransferase,[1350966:1352259](+)
N/A,hypothetical protein,[1352291:1352777](+)
N/A,Ribulose-phosphate 3-epimerase,[1352867:1353530](+)
N/A,hypothetical protein,[1353526:1355296](+)
purH,Phosphoribosylaminoimidazolecarboxamide formyltransferase,[1355386:1356976](+)
N/A,hypothetical protein,[1357157:1357493](+)
crtI,All-trans-zeta-carotene desaturase,[1357611:1359138](+)
N/A,hypothetical protein,[1359148:1359562](+)
N/A,hypothetical protein,[1359539:1361369](+)
msrB,Peptide-methionine (R)-S-oxide reductase,[1361349:1361829](-)
N/A,hypothetical protein,[1361835:1363032](-)
N/A,Fe(3+) ions import ATP-binding protein FbpC,[1363028:1363991](-)
queG,Epoxyqueuosine reductase,[1364013:1365060](+)
N/A,hypothetical protein,[1365066:1365432](-)
N/A,hypothetical protein,[1365434:1366103](-)
scrK,Fructokinase,[1366222:1367224](+)
N/A,hypothetical protein,[1367391:1368915](-)
gpsA,Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),[1368964:1369936](-)
kae1,N(6)-L-threonylcarbamoyladenine synthase,[1369932:1371012](-)
hemC,Hydroxymethylbilane synthase,[1371093:1371951](+)
hemD,Uroporphyrinogen-III synthase,[1371947:1372616](+)
N/A,hypothetical protein,[1372644:1373514](+)
N/A,hypothetical protein,[1373627:1374377](+)
qarS,Glutamine--tRNA ligase,[1374446:1375856](-)
nadE,NAD(+) synthase,[1375894:1377550](-)
prpS,Ribose-phosphate diphosphokinase,[1377668:1378604](+)
N/A,hypothetical protein,[1378628:1378868](-)
N/A,hypothetical protein,[1378920:1379349](-)
N/A,Inositol-phosphate phosphatase,[1379425:1380211](+)
N/A,NAD(+) ADP-ribosyltransferase,[1380214:1380793](-)
N/A,hypothetical protein,[1380880:1383061](-)
N/A,50S ribosomal protein L35,[1383218:1383422](+)
N/A,"50S ribosomal protein L20, chloroplastic",[1383435:1383798](+)
N/A,Leucine efflux protein,[1384012:1384630](+)
pheS,Phenylalanine--tRNA ligase,[1384701:1385793](+)
pheT,Phenylalanine--tRNA ligase,[1385789:1388204](+)
galM,Aldose 1-epimerase,[1388352:1389234](+)
N/A,Peptide chain release factor,[1389302:1390955](+)
N/A,Glutathione transferase,[1390977:1391598](+)
metX,Homoserine O-acetyltransferase,[1391598:1392192](-)
N/A,Homoserine O-acetyltransferase,[1392188:1393325](-)
serA,Phosphoglycerate dehydrogenase,[1393391:1394342](+)
N/A,Histidinol-phosphate transaminase,[1394384:1395482](+)
tyrC,Arogenate dehydrogenase,[1395484:1396390](+)
plsC,1-acylglycerol-3-phosphate O-acyltransferase,[1396463:1397180](-)
N/A,hypothetical protein,[1397191:1397722](-)
N/A,hypothetical protein,[1397718:1398621](-)
N/A,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,[1398617:1399334](-)
N/A,Oxoglutarate dehydrogenase (succinyl-transferring),[1399504:1400326](+)
N/A,Pirin-like protein,[1400465:1401371](-)
N/A,uncharacterized protein,[1401387:1401705](-)
N/A,putative 19.0 kDa protein in cobS 5'region,[1401719:1402367](+)
cobS,Cobaltochelatase,[1402453:1403461](+)
N/A,hypothetical protein,[1403465:1403885](+)
N/A,Protein-tyrosine-phosphatase,[1403881:1404667](+)
cobT,Cobaltochelatase,[1404666:1406493](+)
N/A,Transcription elongation factor GreA,[1406543:1407014](+)
N/A,uncharacterized protein,[1407072:1407564](-)
N/A,hypothetical protein,[1407683:1408250](-)
N/A,hypothetical protein,[1408268:1408595](-)
N/A,50S ribosomal protein L33,[1408808:1408976](+)
N/A,hypothetical protein,[1409155:1411027](-)
N/A,Polar-differentiation response regulator DivK,[1411176:1411527](-)
N/A,hypothetical protein,[1411612:1411909](+)
N/A,hypothetical protein,[1411905:1412562](+)
N/A,NAD(P)H dehydrogenase (quinone),[1412558:1413023](+)
glpQ,Glycerophosphodiester phosphodiesterase,[1412991:1413726](+)
N/A,hypothetical protein,[1413676:1414852](+)
N/A,hypothetical protein,[1414855:1415152](-)
N/A,putative metabolite transport protein,[1415349:1416627](+)
N/A,putative amino acid permease YfnA,[1416665:1418282](-)
N/A,Laccase domain protein,[1418428:1419187](+)
N/A,Protochlorophyllide reductase,[1419255:1420167](-)
N/A,hypothetical protein,[1421206:1421302](-)
N/A,Succinoglycan biosynthesis transport protein ExoT,[1426760:1428248](+)
N/A,uncharacterized protein,[1428252:1428681](-)
N/A,hypothetical protein,[1428825:1429056](+)
yciA,putative acyl-CoA thioester hydrolase,[1429045:1429426](+)
N/A,hypothetical protein,[1429509:1430286](-)
hemK,Peptide chain release factor N(5)-glutamine methyltransferase,[1430600:1431428](-)
N/A,Peptide chain release factor,[1431424:1432516](-)
harS,Histidine--tRNA ligase,[1432515:1433778](-)
N/A,hypothetical protein,[1433932:1435846](+)
N/A,Inorganic diphosphatase,[1435889:1436432](+)
N/A,putative rhizopine catabolism regulatory protein MocR,[1436644:1438108](-)
N/A,hypothetical protein,[1438251:1438683](-)
gyrB,DNA topoisomerase (ATP-hydrolyzing),[1438786:1441303](+)
N/A,hypothetical protein,[1441337:1442657](-)
N/A,hypothetical protein,[1442672:1443074](-)
N/A,hypothetical protein,[1443070:1443616](-)
N/A,hypothetical protein,[1443763:1444255](+)
N/A,putative ATP-dependent helicase,[1444251:1446663](-)
N/A,Methionine gamma-lyase,[1446820:1448146](+)
N/A,Phosphoglycerate dehydrogenase,[1448142:1449087](+)
pgpC,Phosphatidylglycerophosphatase,[1449089:1449764](-)
N/A,putative ABC transporter permease protein,[1449862:1450972](+)
N/A,Spermidine/putrescine import ATP-binding protein PotA,[1450971:1451844](+)
N/A,hypothetical protein,[1451847:1452810](+)
N/A,hypothetical protein,[1452824:1453430](+)
pepN,Membrane alanyl aminopeptidase,[1453467:1456068](-)
N/A,Stage 0 sporulation protein J,[1456143:1457070](-)
N/A,Chromosome-partitioning ATPase Soj,[1457066:1457849](-)
gidB,16S rRNA (guanine(527)-N(7))-methyltransferase,[1457845:1458487](-)
N/A,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,[1458483:1460346](-)
mnmE,tRNA modification GTPase MnmE,[1460392:1461694](-)
N/A,Carboxymethylenebutenolidase,[1462079:1462778](+)
N/A,NADPH:quinone reductase,[1462793:1463762](+)
N/A,hypothetical protein,[1464142:1464733](+)
N/A,putative membrane protein YjbE,[1464832:1465555](-)
N/A,Transcription termination factor Rho,[1465577:1466834](-)
N/A,hypothetical protein,[1467114:1468062](+)
N/A,Penicillin-binding protein 1A,[1468066:1470139](-)
N/A,Peptide-methionine (R)-S-oxide reductase,[1470250:1470655](-)
holA,DNA-directed DNA polymerase,[1470799:1471825](-)
N/A,hypothetical protein,[1471821:1472316](-)
larS,Leucine--tRNA ligase,[1472393:1474910](-)
N/A,uncharacterized protein,[1474993:1475443](-)
N/A,hypothetical protein,[1475667:1476399](+)
N/A,hypothetical protein,[1476585:1477398](-)
thiE,Thiamine phosphate synthase,[1477577:1478132](-)
N/A,UPF0001 protein,[1478155:1478890](+)
N/A,Pesticin receptor,[1478867:1481657](-)
N/A,hypothetical protein,[1481840:1482500](-)
N/A,UPF0176 protein,[1482564:1483365](+)
N/A,hypothetical protein,[1483388:1484123](-)
N/A,UPF0260 protein,[1484079:1484505](-)
N/A,"Protein SCO2, mitochondrial",[1484509:1485151](-)
N/A,Phospholipase A(2),[1485236:1485836](+)
N/A,hypothetical protein,[1485934:1486171](+)
N/A,hypothetical protein,[1486190:1486697](-)
cwlJ,N-acetylmuramoyl-L-alanine amidase,[1486789:1487437](-)
N/A,hypothetical protein,[1487618:1487957](-)
N/A,hypothetical protein,[1487946:1488408](-)
ptsN,Protein-N(pi)-phosphohistidine--sugar phosphotransferase,[1488397:1488940](-)
N/A,uncharacterized protein,[1488990:1489584](-)
N/A,DNA-directed DNA polymerase,[1489666:1490371](-)
coaE,Dephospho-CoA kinase,[1490393:1490987](-)
aroE,Shikimate dehydrogenase,[1490989:1491811](-)
N/A,Maf-like protein,[1491807:1492401](-)
N/A,"Putative pyruvate, phosphate dikinase regulatory protein",[1492397:1493225](-)
hemE,Uroporphyrinogen decarboxylase,[1493512:1494574](+)
N/A,UPF0093 membrane protein,[1494573:1495014](+)
panC,Pantoate--beta-alanine ligase (AMP-forming),[1495103:1495952](-)
N/A,hypothetical protein,[1496056:1496866](+)
N/A,Mitochondrial import inner membrane translocase subunit TIM14-1,[1496865:1497309](+)
manB,Phosphomannomutase,[1497334:1498702](+)
N/A,hypothetical protein,[1499049:1500351](+)
gcpE,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),[1500402:1501563](+)
N/A,hypothetical protein,[1501842:1502769](+)
N/A,DNA translocase FtsK,[1502918:1505240](+)
N/A,hypothetical protein,[1505517:1506156](+)
N/A,Exodeoxyribonuclease III,[1506522:1507320](+)
ribA,GTP cyclohydrolase II,[1507333:1508392](+)
N/A,hypothetical protein,[1508388:1508889](+)
glnD,[Protein-PII] uridylyltransferase,[1508899:1511662](-)
N/A,DNA mismatch repair protein MutS,[1511671:1514323](-)
N/A,Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),[1514449:1516711](+)
cofC,2-phospho-L-lactate guanylyltransferase,[1516728:1517307](-)
cofD,2-phospho-L-lactate transferase,[1517310:1518243](-)
cofE,Coenzyme F420-0:L-glutamate ligase,[1518239:1518998](-)
hsaB,"4-nitrophenol 4-monooxygenase/4-nitrocatechol 2-monooxygenase, reductase component",[1519160:1519655](+)
N/A,hypothetical protein,[1519709:1520693](+)
N/A,hypothetical protein,[1521058:1521856](+)
dpo4,DNA-directed DNA polymerase,[1521863:1522943](-)
N/A,hypothetical protein,[1522995:1523526](-)
N/A,hypothetical protein,[1523522:1524038](-)
N/A,hypothetical protein,[1524178:1524685](+)
N/A,Nitrate/nitrite response regulator protein,[1525216:1525978](+)
N/A,hypothetical protein,[1526231:1526864](+)
N/A,hypothetical protein,[1526853:1527690](+)
N/A,hypothetical protein,[1527763:1527886](-)
N/A,hypothetical protein,[1527935:1528325](-)
aldH,Aldehyde dehydrogenase (NADP(+)),[1529322:1530888](+)
N/A,hypothetical protein,[1530884:1531862](+)
N/A,putative HTH-type transcriptional regulator YieP,[1531889:1532654](+)
N/A,hypothetical protein,[1532696:1532837](+)
lacZ,Beta-galactosidase,[1535679:1538247](-)
tesI,3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor),[1538627:1540442](-)
N/A,hypothetical protein,[1540600:1541224](+)
N/A,Transposase for insertion sequence element IS1111A,[1541225:1541768](-)
xynB,"Xylan 1,4-beta-xylosidase",[1541841:1543362](-)
N/A,Transposase for insertion sequence element IS640,[1543793:1545089](+)
N/A,Insertion sequence IS21 putative ATP-binding protein,[1545088:1545886](+)
N/A,UPF0246 protein,[1545927:1546881](+)
N/A,putative lipoprotein,[1546953:1547904](-)
N/A,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",[1549619:1550375](+)
N/A,hypothetical protein,[1550374:1551244](+)
N/A,hypothetical protein,[1551250:1551955](-)
N/A,Lactoylglutathione lyase,[1552057:1552492](+)
N/A,Hydroxyacylglutathione hydrolase,[1552497:1553220](+)
N/A,hypothetical protein,[1553275:1553677](+)
N/A,Long-chain-fatty-acid--CoA ligase,[1553680:1555459](-)
ruvB,DNA helicase,[1555549:1556569](-)
ruvA,DNA helicase,[1556608:1557217](-)
N/A,hypothetical protein,[1557358:1557928](+)
N/A,hypothetical protein,[1558018:1558609](+)
